,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,jp_parent_route_id,route_color,route_text_color
0,0-西部線浜田コース_A,0-300020052019,,西部線浜田コース,,3,西部線浜田コース,99CC33,400040
1,0-西部線下浜コース_A,0-300020052019,,西部線下浜コース（西部ＳＣ－浜田－名ヶ沢）,,3,西部線下浜コース,33CC66,000000
2,0-西部線下浜コース_C,0-300020052019,,西部線下浜コース（西部ＳＣ－境川－羽川）,,3,西部線下浜コース,33CC66,000000
3,0-西部線下浜コース_B,0-300020052019,,西部線下浜コース（西部ＳＣ－境川－名ヶ沢）,,3,西部線下浜コース,33CC66,000000
4,0-西部線下浜コース_D,0-300020052019,,西部線下浜コース（西部ＳＣ－名ヶ沢－羽川）,,3,西部線下浜コース,33CC66,000000
5,0-西部線豊岩コース_A,0-300020052019,,西部線豊岩コース（湯野目）,,3,西部線豊岩コース,993333,FFFFFF
6,0-西部線豊岩コース_B,0-300020052019,,西部線豊岩コース（石崎）,,3,西部線豊岩コース,993333,FFFFFF
7,0-西部線豊岩コース_C,0-300020052019,,西部線豊岩コース（新屋高校前ー西部ＳＣ）,,3,西部線豊岩コース,993333,FFFFFF
8,0-東部線木曽石コース_A,0-300020052019,,東部線木曽石コース,,3,東部線木曽石コース,0099CC,FFFFFF
9,0-東部線上北手コース_B,0-300020052019,,東部線上北手コース（アマノ前）,,3,東部線上北手コース,FFCC00,000000
10,0-東部線中北手コース_A,0-300020052019,,東部線中北手コース（南ヶ丘経由）,,3,東部線中北手コース,663399,FFFFFF
11,0-南部線河辺Ａコース_A,0-300020052019,,南部線河辺Ａコース（イオンー岩見温泉）,,3,南部線河辺Ａコース,0099CC,FFFFFF
12,0-南部線河辺Ａコース_B,0-300020052019,,南部線河辺Ａコース（日赤ー岩見温泉）,,3,南部線河辺Ａコース,0099CC,FFFFFF
13,0-南部線河辺Ａコース_C,0-300020052019,,南部線河辺Ａコース（シルバーエリアー岩見温泉）,,3,南部線河辺Ａコース,0099CC,FFFFFF
14,0-南部線雄和Ａコース_F,0-300020052019,,南部線雄和Ａコース（イオンーＡコープー西の又）,,3,南部線雄和Ａコース,999966,000000
15,0-南部線雄和Ａコース_D,0-300020052019,,南部線雄和Ａコース（シルバーエリアー西の又）,,3,南部線雄和Ａコース,999966,000000
16,0-南部線雄和Ｂコース_H,0-300020052019,,南部線雄和Ｂコース（シルバーエリアー命ヶ沢）,,3,南部線雄和Ｂコース,CC6600,000000
17,0-北部線上新城コース_B,0-300020052019,,(予約制)北部線上新城（上り）,,3,北部線上新城コース,003366,FFFFFF
18,0-南部線雄和Ａコース_A,0-300020052019,,南部線雄和Ａコース（イオンー西の又）,,3,南部線雄和Ａコース,999966,000000
19,0-南部線雄和Ａコース_B,0-300020052019,,南部線雄和Ａコース（日赤ーＡコープー西の又）,,3,南部線雄和Ａコース,999966,000000
20,0-南部線雄和Ａコース_C,0-300020052019,,南部線雄和Ａコース（日赤ー西の又）,,3,南部線雄和Ａコース,999966,000000
21,0-南部線雄和Ａコース_E,0-300020052019,,南部線雄和Ａコース（イオンー新波）,,3,南部線雄和Ａコース,999966,000000
22,0-南部線雄和Ａコース_G,0-300020052019,,南部線雄和Ａコース（雄和ＳＣー日赤）,,3,南部線雄和Ａコース,999966,000000
23,0-南部線雄和Ｂコース_A,0-300020052019,,南部線雄和Ｂコース（イオンー新波）,,3,南部線雄和Ｂコース,CC6600,000000
24,0-南部線雄和Ｂコース_B,0-300020052019,,南部線雄和Ｂコース（イオンー沖村ーＡコープー新波）,,3,南部線雄和Ｂコース,CC6600,000000
25,0-南部線雄和Ｂコース_C,0-300020052019,,南部線雄和Ｂコース（イオンー雄和ＳＣ）,,3,南部線雄和Ｂコース,CC6600,000000
26,0-南部線雄和Ｂコース_D,0-300020052019,,南部線雄和Ｂコース（日赤ー沖村ーＡコープー命ヶ沢）,,3,南部線雄和Ｂコース,CC6600,000000
27,0-南部線雄和Ｂコース_E,0-300020052019,,南部線雄和Ｂコース（日赤ー中ノ沢会館）,,3,南部線雄和Ｂコース,CC6600,000000
28,0-南部線雄和Ｂコース_F,0-300020052019,,南部線雄和Ｂコース（イオンー沖村ーＡコープー命ヶ沢）,,3,南部線雄和Ｂコース,CC6600,000000
29,0-南部線雄和Ｂコース_G,0-300020052019,,南部線雄和Ｂコース（イオンー沖村ーＡコープー中ノ沢会館）,,3,南部線雄和Ｂコース,CC6600,000000
30,0-南部線雄和Ｂコース_I,0-300020052019,,南部線雄和Ｂコース（イオンー命ヶ沢）,,3,南部線雄和Ｂコース,CC6600,000000
31,0-南部線雄和Ｂコース_J,0-300020052019,,南部線雄和Ｂコース（日赤ー命ヶ沢）,,3,南部線雄和Ｂコース,CC6600,000000
32,0-南部線雄和Ｂコース_K,0-300020052019,,南部線雄和Ｂコース（日赤ーシルバーエリアー命ヶ沢）,,3,南部線雄和Ｂコース,CC6600,000000
33,0-南部線雄和Ｂコース_L,0-300020052019,,南部線雄和Ｂコース（イオンーＡコープー命ヶ沢）,,3,南部線雄和Ｂコース,CC6600,000000
34,0-南部線雄和Ｂコース_M,0-300020052019,,南部線雄和Ｂコース（イオンーＡコープー中ノ沢会館）,,3,南部線雄和Ｂコース,CC6600,000000
35,0-北部線上新城コース_H,0-300020052019,,(予約制)北部線上新城（下り）,,3,北部線上新城コース,003366,FFFFFF
36,0-下北手線_A,0-300020052019,,下北手線,,3,下北手線,663399,FFFFFF
37,0-東部線中北手コース_B,0-300020052019,,東部線中北手コース,,3,東部線中北手コース,663399,FFFFFF
38,0-中心市街地循環バス_A,0-300020052019,,中心市街地循環バスぐるる,,3,中心市街地循環バス,99CC33,000000
39,0-西部線豊岩コース_F,0-300020052019,,西部線豊岩コース（小山回転地）,,3,西部線豊岩コース,993333,FFFFFF
40,0-西部線豊岩コース_E,0-300020052019,,西部線豊岩コース（湯野目ー西中学校前）,,3,西部線豊岩コース,993333,FFFFFF
41,0-北部線金足コース_E,0-300020052019,,(予約制)北部線金足（西小対応１）,,3,北部線金足コース,999966,000000
42,0-北部線金足コース_F,0-300020052019,,(予約制)北部線金足コース（西小対応２）,,3,北部線金足コース,999966,000000
43,0-西部線下浜コース_E,0-300020052019,,西部線下浜コース（西中－境川－名ヶ沢）,,3,西部線下浜コース,33CC66,000000
44,0-西部線下浜コース_F,0-300020052019,,西部線下浜コース（西中－境川－羽川）,,3,西部線下浜コース,33CC66,000000
45,0-北部線外旭川笹岡循環コース_B,0-300020052019,,北部線外旭川笹岡循環コース（時計回り）,,3,北部線外旭川笹岡循環コース,99CC33,000000
46,0-北部線下新城コース_A,0-300020052019,,(予約制)北部線下新城（上り）,,3,北部線下新城コース,CC6600,000000
47,0-北部線下新城コース_B,0-300020052019,,(予約制)北部線下新城（下り）,,3,北部線下新城コース,CC6600,000000
48,0-北部線金足コース_D,0-300020052019,,(予約制)北部線金足(上り),,3,北部線金足コース,999966,000000
49,0-南部線河辺Ｂコース(400201),0-300020052019,,(予約制)南部線河辺Ｂコース（岩見温泉発着）,,3,南部線河辺Ｂコース,663399,FFFFFF
50,0-南部線河辺Ｂコース(400202),0-300020052019,,(予約制)南部線河辺Ｂコース（岩見三内発着）,,3,南部線河辺Ｂコース,663399,FFFFFF
51,0-南部線河辺Ｃコース_A,0-300020052019,,(予約制)南部線河辺Ｃコース,,3,南部線河辺Ｃコース,FFCC00,000000
52,0-南部線川添コース_A,0-300020052019,,(予約制)南部線川添コース（左回り）,,3,南部線川添コース,003366,FFFFFF
53,0-南部線川添コース_B,0-300020052019,,(予約制)南部線川添コース（右回り）,,3,南部線川添コース,003366,FFFFFF
54,0-南部線種平コース_A,0-300020052019,,(予約制)南部線種平コース（右回り）,,3,南部線種平コース,FFFF00,000000
55,0-南部線種平コース_B,0-300020052019,,(予約制)南部線種平コース（左回り）,,3,南部線種平コース,FFFF00,000000
56,0-北部線金足コース_C,0-300020052019,,(予約制)北部線金足（下り）,,3,北部線金足コース,999966,000000
0,1-10,1-3000020052159,,たっこちゃんバス　向生保内１線,,3,,,
1,1-20,1-3000020052159,,たっこちゃんバス　向生保内２線,,3,,,
2,1-30,1-3000020052159,,スマイルバス　中川１線,,3,,,
3,1-40,1-3000020052159,,スマイルバス　中川２線,,3,,,
4,1-50,1-3000020052159,,スマイルバス　下延線,,3,,,
5,1-60,1-3000020052159,,スマイルバス　八割線,,3,,,
0,2-【1】五里合線(1001),2-2000020052060,,【1】五里合線,,3,【1】五里合線,FE5116,FFFFFF
1,2-【1】五里合線(1002),2-2000020052060,,【1】五里合線,,3,【1】五里合線,FE5116,FFFFFF
2,2-【1】五里合線(1003),2-2000020052060,,【1】五里合線,,3,【1】五里合線,FE5116,FFFFFF
3,2-【1】五里合線(1004),2-2000020052060,,【1】五里合線,,3,【1】五里合線,FE5116,FFFFFF
4,2-【5】男鹿南線(5001),2-2000020052060,,【5】男鹿南線,,3,【5】男鹿南線,019FFE,FFFFFF
5,2-【5】男鹿南線(5002),2-2000020052060,,【5】男鹿南線,,3,【5】男鹿南線,019FFE,FFFFFF
6,2-【5】男鹿南線(5004),2-2000020052060,,【5】男鹿南線,,3,【5】男鹿南線,019FFE,FFFFFF
7,2-【6】船越線(6001),2-2000020052060,,【6】船越線,,3,【6】船越線,0A9645,FFFFFF
8,2-【6】船越線(6002),2-2000020052060,,【6】船越線,,3,【6】船越線,0A9645,FFFFFF
9,2-【7】潟西線(7001),2-2000020052060,,【7】潟西線,,3,【7】潟西線,EFB70E,FFFFFF
10,2-【7】潟西線(7002),2-2000020052060,,【7】潟西線,,3,【7】潟西線,EFB70E,FFFFFF
11,2-【8】男鹿北線(8003),2-2000020052060,,【8】男鹿北線,,3,【8】男鹿北線,73024F,FFFFFF
12,2-【8】男鹿北線(8002),2-2000020052060,,【8】男鹿北線,,3,【8】男鹿北線,73024F,FFFFFF
13,2-【8】男鹿北線(8001),2-2000020052060,,【8】男鹿北線,,3,【8】男鹿北線,73024F,FFFFFF
14,2-【8】男鹿北線(8004),2-2000020052060,,【8】男鹿北線,,3,【8】男鹿北線,73024F,FFFFFF
15,2-【8】男鹿北線(8005),2-2000020052060,,【8】男鹿北線,,3,【8】男鹿北線,73024F,FFFFFF
16,2-【8】男鹿北線(8006),2-2000020052060,,【8】男鹿北線,,3,【8】男鹿北線,73024F,FFFFFF
17,2-【10】おがぐる(10001),2-2000020052060,,【10】おがぐる,,3,【10】おがぐる,808040,FFFFFF
18,2-【10】おがぐる(10003),2-2000020052060,,【10】おがぐる,,3,【10】おがぐる,808040,FFFFFF
19,2-【10】おがぐる(10002),2-2000020052060,,【10】おがぐる,,3,【10】おがぐる,808040,FFFFFF
20,2-【10】おがぐる(10004),2-2000020052060,,【10】おがぐる,,3,【10】おがぐる,808040,FFFFFF
0,3-【1】五里合線(1001),3-2000020052060,,【1】五里合線,,3,【1】五里合線,FE5116,FFFFFF
1,3-【1】五里合線(1002),3-2000020052060,,【1】五里合線,,3,【1】五里合線,FE5116,FFFFFF
2,3-【1】五里合線(1003),3-2000020052060,,【1】五里合線,,3,【1】五里合線,FE5116,FFFFFF
3,3-【1】五里合線(1004),3-2000020052060,,【1】五里合線,,3,【1】五里合線,FE5116,FFFFFF
